# Time-correlated data for fix JJ
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_flux[1]*c_flux[1] c_flux[2]*c_flux[2] c_flux[3]*c_flux[3] c_flux[4]*c_flux[4] c_flux[5]*c_flux[5] c_flux[6]*c_flux[6]
0 100
99 343000 0 0.0 0.0 0.0 0.0 0.0 0.0
100 346500 0 0.0 0.0 0.0 0.0 0.0 0.0
350000 100
1 0 101 412349 560692 3.61248e+06 1.92172e+06 2.37845e+06 2.67968e+06
2 3500 100 27887.6 -82528.6 -256123 -188317 -305816 87330
3 7000 99 -72627.7 -181854 -824693 -366199 -541377 -715146
4 10500 98 27004.9 127875 -247131 -29909.8 -63522.3 -216059
5 14000 97 47615.8 41718.9 -195458 -103656 164642 -56815.8
6 17500 96 -47604.5 -75847.9 694954 -51452 -307984 660235
7 21000 95 -11882 68490.6 134859 140317 362107 23768.2
8 24500 94 33309.6 21427.3 -430191 -22611.7 105550 -609801
9 28000 93 35934.5 -50631.2 87923 -106939 -69311.9 43866.2
10 31500 92 4372.27 -59160.9 192253 69640.2 -415440 221814
11 35000 91 -27059.3 94576 264497 130175 281715 489352
12 38500 90 67358.9 7940.3 -178172 261145 452026 48471
13 42000 89 14233 -128317 -614873 -412694 -439581 -479594
14 45500 88 -59327.5 38364.4 -630750 17463.2 -162742 -726181
15 49000 87 -922.219 51067.6 29176.5 -47572.3 262739 -90835.6
16 52500 86 46119.8 -131121 504202 215305 -525110 495924
17 56000 85 -14683.4 -18009.7 409709 -45580.6 -430151 102748
18 59500 84 -6173.1 114010 -37292 -16852.8 449746 -89807.2
19 63000 83 71957.8 -83313.6 -881928 -246383 -35984.4 -575640
20 66500 82 120463 -92120.3 102623 418268 21789.1 155010
21 70000 81 4783.44 91668.6 247041 -80274.8 105031 362424
22 73500 80 -27178.3 -5127.18 -288790 -313396 -188412 -149000
23 77000 79 41970.9 -18315.8 250151 -113467 -68050.1 -123079
24 80500 78 55295.4 23266.1 -66544.8 -113541 -262408 -75700.3
25 84000 77 -41413.8 3597.44 245414 -147393 193465 207936
26 87500 76 -83866 -2741.95 875353 270099 190737 726218
27 91000 75 61145.6 36630.1 -876178 335349 -261262 -377851
28 94500 74 -29798.4 36477.5 114544 -215241 -311314 137219
29 98000 73 -42105.2 10801.1 73197.8 -97258.1 541922 -88055.6
30 101500 72 5469.61 -96101.6 -64593.2 118981 -78282 -99357.5
31 105000 71 62828.5 157089 109554 320602 73750.7 198176
32 108500 70 27318.6 -10894.5 196476 -205453 -121183 -20562.2
33 112000 69 5116.32 -63754.9 393004 108642 136036 331437
34 115500 68 -31773.1 95994.5 153899 -57784.5 272484 148403
35 119000 67 -7542.34 -38118.5 -888565 -121725 -431791 -251535
36 122500 66 -23149.7 -127231 25823.3 -220964 -134940 190330
37 126000 65 -52628.4 121554 59816.6 472557 324494 287819
38 129500 64 98549.5 38683.1 241243 19843.3 316864 -381652
39 133000 63 44051.4 16925.1 260265 95398.9 -107636 -475774
40 136500 62 -74078.9 -8307.95 -348384 -191498 482894 -243820
41 140000 61 -4835.61 -72112.7 -617483 -247756 -739528 -27469.7
42 143500 60 111076 11954.7 337596 15623.7 -82366.4 178760
43 147000 59 42921.7 -39850.6 186041 -176861 140550 395547
44 150500 58 11896.7 52967.8 -337166 283828 556591 -168975
45 154000 57 -79473.2 63009.4 472673 182028 -281297 292304
